Date,Max_Demand_GW,Plant_Production_GWh,Imports_GWh,Renewables_Production_GWh,powerplants_c02_kt,GDP_mln,Population_k,tmin,tavg,tmax
2003-01-01 00:00:00,0.36,91.04,0.0,0.0,0.0,196.43,398.58,10.9,13.2,15.6
2003-01-16 12:00:00,0.38,91.04,0.0,0.0,0.0,196.43,398.58,9.4,11.8,14.3
2003-02-01 00:00:00,0.4,93.55,0.0,0.0,0.0,201.85,398.58,7.9,10.4,13.0
2003-02-15 00:00:00,0.37,93.55,0.0,0.0,0.0,201.85,398.6920833333333,8.850000000000001,11.55,14.35
2003-03-01 00:00:00,0.34,88.185,0.0,0.0,0.0,190.27,398.8041666666667,9.8,12.7,15.7
2003-03-16 12:00:00,0.32,88.185,0.0,0.0,0.0,190.27,398.91625,11.100000000000001,14.1,17.2
2003-04-01 00:00:00,0.3,78.265,0.0,0.0,0.0,168.87,399.0283333333333,12.4,15.5,18.7
2003-04-16 00:00:00,0.29000000000000004,78.265,0.0,0.0,0.0,168.87,399.1404166666666,14.2,17.95,21.75
2003-05-01 00:00:00,0.28,81.985,0.0,0.0,0.0,176.89,399.2525,16.0,20.4,24.8
2003-05-16 12:00:00,0.33,81.985,0.0,0.0,0.0,176.89,399.3645833333333,18.7,23.25,27.8
2003-06-01 00:00:00,0.38,96.985,0.0,0.0,0.0,209.26,399.47666666666663,21.4,26.1,30.8
2003-06-16 00:00:00,0.39,96.985,0.0,0.0,0.0,209.26,399.58875,22.65,27.450000000000003,32.2
2003-07-01 00:00:00,0.4,116.475,0.0,0.0,0.0,251.31,399.7008333333333,23.9,28.8,33.6
2003-07-16 12:00:00,0.4,116.475,0.0,0.0,0.0,251.31,399.81291666666664,23.9,28.75,33.5
2003-08-01 00:00:00,0.4,113.545,0.0,0.0,0.0,244.99,399.92499999999995,23.9,28.7,33.4
2003-08-16 12:00:00,0.395,113.545,0.0,0.0,0.0,244.99,400.0370833333333,22.549999999999997,26.6,30.549999999999997
2003-09-01 00:00:00,0.39,94.385,0.0,0.0,0.0,203.65,400.14916666666664,21.2,24.5,27.7
2003-09-16 00:00:00,0.365,94.385,0.0,0.0,0.0,203.65,400.26124999999996,20.15,23.3,26.4
2003-10-01 00:00:00,0.34,91.53,0.0,0.0,0.0,197.49,400.37333333333333,19.1,22.1,25.1
2003-10-16 12:00:00,0.32,91.53,0.0,0.0,0.0,197.49,400.48541666666665,16.950000000000003,20.05,23.15
2003-11-01 00:00:00,0.3,81.205,0.0,0.0,0.0,175.21,400.59749999999997,14.8,18.0,21.2
2003-11-16 00:00:00,0.32999999999999996,81.205,0.0,0.0,0.0,175.21,400.70958333333334,13.100000000000001,15.95,18.799999999999997
2003-12-01 00:00:00,0.36,90.62,0.0,0.0,0.0,195.53,400.82166666666666,11.4,13.9,16.4
2003-12-16 12:00:00,0.365,90.62,0.0,0.0,0.0,195.53,400.93375,10.4,13.05,15.7
2004-01-01 00:00:00,0.37,97.815,0.0,0.0,0.0,216.74,401.0458333333333,9.4,12.2,15.0
2004-01-16 12:00:00,0.365,97.815,0.0,0.0,0.0,216.74,401.15791666666667,9.55,12.6,15.65
2004-02-01 00:00:00,0.36,87.38,0.0,0.0,0.0,193.62,401.27,9.7,13.0,16.3
2004-02-15 12:00:00,0.35,87.38,0.0,0.0,0.0,193.62,401.37666666666667,10.3,13.4,16.450000000000003
2004-03-01 00:00:00,0.34,88.32,0.0,0.0,0.0,195.7,401.4833333333333,10.9,13.8,16.6
2004-03-16 12:00:00,0.32,88.32,0.0,0.0,0.0,195.7,401.59,11.850000000000001,14.950000000000001,18.0
2004-04-01 00:00:00,0.3,80.295,0.0,0.0,0.0,177.92,401.69666666666666,12.8,16.1,19.4
2004-04-16 00:00:00,0.295,80.295,0.0,0.0,0.0,177.92,401.80333333333334,13.65,17.15,20.65
2004-05-01 00:00:00,0.29,81.885,0.0,0.0,0.0,181.44,401.90999999999997,14.5,18.2,21.9
2004-05-16 12:00:00,0.32499999999999996,81.885,0.0,0.0,0.0,181.44,402.01666666666665,16.55,20.65,24.75
2004-06-01 00:00:00,0.36,89.245,0.0,0.0,0.0,197.75,402.12333333333333,18.6,23.1,27.6
2004-06-16 00:00:00,0.375,89.245,0.0,0.0,0.0,197.75,402.22999999999996,20.05,24.700000000000003,29.3
2004-07-01 00:00:00,0.39,110.88,0.0,0.0,0.0,245.69,402.33666666666664,21.5,26.3,31.0
2004-07-16 12:00:00,0.39,110.88,0.0,0.0,0.0,245.69,402.4433333333333,22.05,26.5,30.95
2004-08-01 00:00:00,0.39,112.265,0.0,0.0,0.0,248.76,402.54999999999995,22.6,26.7,30.9
2004-08-16 12:00:00,0.38,112.265,0.0,0.0,0.0,248.76,402.65666666666664,21.200000000000003,25.049999999999997,28.95
2004-09-01 00:00:00,0.37,96.005,0.0,0.0,0.0,212.73,402.7633333333333,19.8,23.4,27.0
2004-09-16 00:00:00,0.35,96.005,0.0,0.0,0.0,212.73,402.87,19.15,22.799999999999997,26.5
2004-10-01 00:00:00,0.33,91.82,0.0,0.0,0.0,203.45,402.97666666666663,18.5,22.2,26.0
2004-10-16 12:00:00,0.325,91.82,0.0,0.0,0.0,203.45,403.0833333333333,16.35,19.5,22.7
2004-11-01 00:00:00,0.32,84.04,0.0,0.0,0.0,186.22,403.19,14.2,16.8,19.4
2004-11-16 00:00:00,0.33999999999999997,84.04,0.0,0.0,0.0,186.22,403.2966666666666,13.5,15.9,18.299999999999997
2004-12-01 00:00:00,0.36,88.095,0.0,0.0,0.0,195.2,403.4033333333333,12.8,15.0,17.2
2004-12-16 12:00:00,0.375,88.095,0.0,0.0,0.0,195.2,403.51,10.45,13.05,15.6
2005-01-01 00:00:00,0.39,99.1,0.0,0.0,0.0,227.88,403.6166666666667,8.1,11.1,14.0
2005-01-16 12:00:00,0.395,99.1,0.0,0.0,0.0,227.88,403.7233333333333,8.05,10.85,13.6
2005-02-01 00:00:00,0.4,94.015,0.0,0.0,0.0,216.19,403.83,8.0,10.6,13.2
2005-02-15 00:00:00,0.39,94.015,0.0,0.0,0.0,216.19,403.89166666666665,8.9,12.0,15.049999999999999
2005-03-01 00:00:00,0.38,90.515,0.0,0.0,0.0,208.14,403.9533333333333,9.8,13.4,16.9
