Date,Max_Demand_GW,Plant_Production_GWh,Imports_GWh,Renewables_Production_GWh,emissions_c02_GG,GDP_bln,Population_k,tavg,tmax,tmin
2021-12-01,0.43,218.02,57.41,14.1,60.01,15.0,518.54,13.5,16.3,10.7
2022-01-01,0.5,233.51,64.3,16.59,64.98,16.87,523.42,11.6,14.6,8.9
2022-02-01,0.47,204.97,46.44,20.33,61.08,16.87,523.42,12.4,15.7,9.4
2022-03-01,0.46,229.3,46.01,22.62,59.78,16.87,523.42,14.05,17.45,11.0
2022-04-01,0.37,197.05,68.26,24.74,48.08,16.87,523.42,15.7,19.2,12.6
2022-05-01,0.42,207.66,33.78,33.12,54.58,16.87,523.42,20.3,24.9,16.2
2022-06-01,0.54,259.35,49.88,34.54,70.17,16.87,523.42,27.0,32.4,21.9
2022-07-01,0.58,318.85,75.08,32.42,75.37,16.87,523.42,28.4,33.4,24.0
2022-08-01,0.57,317.19,84.73,30.34,74.07,16.87,523.42,27.9,32.4,24.2
2022-09-01,0.53,273.01,76.46,25.78,68.87,16.87,523.42,25.9,29.4,22.9
2022-10-01,0.41,225.89,66.13,23.85,53.28,16.87,523.42,21.5,25.3,18.2
2022-11-01,0.41,206.4,13.05,16.79,53.28,16.87,523.42,18.0,21.3,15.1
2022-12-01,0.4,207.78,22.02,15.84,51.98,16.87,523.42,16.3,19.4,13.2
